file,slot,post,why
crunch_gran__gore_gristle_2-s01.wav,crunch_gran,shelved -12 dB @2500,31 lomid transients; shelves to centroid 2565 vs the reference spine break's 2705 -- first take under the 4500 ceiling in the project's history
gore_wet__gore_wet_crunch_2-s01.wav,gore_wet,shelved -12 dB @2500,"shelves to centroid 3091, inside gore_wet; 15 lomid but -20 dB in 28 ms is a snap, so not crunch_gran"
head_impact__imp_heavy_3-s01.wav,head_impact,,"native fit, no trim: 418 ms, 10 lomid, tilt +18.4, centroid 2901, -20 dB in 30 ms"
imp_body__imp-s01.wav,imp_body,,"clean: 198 ms, tilt +15.0, 1 lomid transient, centroid 3472. The smoothest body take in the batch"
imp_body__imp_body_heavy-s01.wav,imp_body,,"tilt +13.9, 4 lomid, centroid 4051; trim 336 -> 250 ms"
imp_body__imp_body_light-s01.wav,imp_body,,"tilt +11.1, 3 lomid, centroid 2630; trim 336 -> 250 ms"
imp_body__imp_body_light_3-s01.wav,imp_body,,"tilt +16.5, 5 lomid, centroid 2698; trim 261 -> 250 ms"
imp_body__imp_heavy_2-s02.wav,imp_body,,"tilt +33.5, 3 lomid, centroid 1056 -- very bass-led and smooth, but high -43 air -46: no metal in it at all"
imp_body__imp_heavy_4-s01.wav,imp_body,,"tilt +22.6, 5 lomid, centroid 2172, -20 dB in 40 ms"
imp_body__imp_heavy_6-s01.wav,imp_body,,"tilt +28.0, 4 lomid, centroid 3100, sub +0; trim 494 -> 250 ms"
imp_body__imp_metallic-s01.wav,imp_body,,"passes the gates (tilt +5.2, 4 lomid, centroid 3599) but -20 dB in 84 ms is a ring. Audition against the shipped three; likely an armor_heavy take once that slot exists"
imp_transient__gore_and_crunch-s01.wav,imp_transient,,"flat tilt, centroid 4935, only 4 lomid -- a wet contact, not a crunch. The fish_slap precedent, section 7"
imp_transient__imp_wet-s01.wav,imp_transient,,"tilt -0.1 raw, centroid 5195, 3 lomid -- a bright wet contact. fish_slap precedent"
limb_tap__bone_crunch_tick_2-s01.wav,limb_tap,,"60 ms, 1 lomid transient, centroid 7422 -- a tiny dry tick"
scrape_grain__scrape_grain_stone-s01.wav,scrape_grain,,"passes unshelved: 17 lomid, centroid 3029, tilt -0.4. Also passes crunch_gran; filed on its prompt's slot, which has 0 files built"
scrape_limb__scrape_dirt_dead_brush-long.wav,scrape_limb,,"same take whole, 1951 ms; seam 2.4 dB"
scrape_limb__scrape_dirt_dead_brush-loop.wav,scrape_limb,,"lomid -14 mid -11, 62 grains/s, steady 3.3, seam 2.2 dB"
scrape_limb__scrape_soft_carpet-long.wav,scrape_limb,,"same take whole; seam 5.7 dB, so a one-shot in a Looping = 0 slot rather than a loop"
scrape_limb__scrape_soft_carpet-loop.wav,scrape_limb,,"the flattest of the five: lomid -13 mid -13 high -12, 64 grains/s, steady 3.4, seam 0.4 dB. Best limb scrape in the batch"
scrape_limb_stone__scrape_long_limb_stone-long.wav,scrape_limb_stone,,"same take whole, 8358 ms, seam 9.0 dB -- a one-shot, not a loop. Same hiss caveat"
scrape_limb_stone__scrape_long_limb_stone-loop.wav,scrape_limb_stone,,"passes every gate (74 grains/s, steady 2.1, seam 0.5) but lomid -53: there is no grind in it, only air. Passes because scrape_limb's tilt gate is one-sided -- see the report"
settle_rest__imp_body_light_2-s01.wav,settle_rest,,6 lomid is over imp_body's 5 -- the leather creak. Soft attack and a 44 ms decay make it a better settle_rest
settle_rest__imp_heavy_7-s01.wav,settle_rest,,"26 lomid at centroid 1451, tilt +29.3 -- a dull dense plate crash. Misses crunch_gran on -20 dB in 26 ms against a 30 ms floor, by 4 ms"
surf_soft__imp_heavy_2-s01.wav,surf_soft,,"centroid 758, tilt +33.3 -- a dull low knock, no character of its own"
surf_stone__metallic_sharp_2-s01.wav,surf_stone,,"tilt -44.7, centroid 8834, no wet content -- the first genuinely bright stone candidate the generator has produced. But a sword clash rings and Slots.md section 2 says stone stops: ear-check before shipping"
surf_wood__scrape_grain_stone-s02.wav,surf_wood,,"164 ms, centroid 2964, -20 dB in 22 ms. Too fast a decay for scrape_grain (wants 40+)"
