cut,source,kind,in_ms,len_ms,inferred_slot,verdict,centroid,tilt,usable,alts,corr,fails,note
A_dull_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation1-s01.wav,"Firefly_audio_A_dull,_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation1.wav",single,19,171,imp_body,KEEP,3172,9.3,164,"imp_transient, surf_soft, limb_tap, gore_wet, settle_rest",1.0,,satellite @268ms -32dB; satellite @370ms -29dB; satellite @504ms -28dB
A_dull_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation2-s01.wav,"Firefly_audio_A_dull,_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation2.wav",single,8,186,imp_body,KEEP,2659,15.3,168,"surf_wood, surf_soft, limb_tap, gore_wet, settle_rest",0.99,,
A_dull_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation3-s01.wav,"Firefly_audio_A_dull,_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation3.wav",short,19,85,imp_body,RETRY,2281,16.7,80,limb_tap,0.99,"only 80 ms of event, slot wants 150-250",satellite @162ms -33dB
A_dull_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation3-s02.wav,"Firefly_audio_A_dull,_heavy_thump_as_a_wet_sandbag_slams_onto_pa_variation3.wav",short,87,81,imp_body,RETRY,4609,6.4,76,imp_transient,0.99,"only 76 ms of event, slot wants 150-250; centroid 4609 Hz, slot wants 800-4200",satellite @162ms -33dB
A_heavy_object_glides_slowly_over_rough_stone_low_variation1-loop.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation1.wav",loop,5160,2008,scrape_loop,RETRY,1356,36.3,2008,air_whoosh,1.0,"53 grains/s, want 8-40; tilt +36.3 dB, too bass-led (max +19) — hollow, no mid content",scrape_loop; window swept for seam
A_heavy_object_glides_slowly_over_rough_stone_low_variation1-long.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation1.wav",long,20,9910,scrape_loop,RETRY,1056,37.7,9910,"surf_wood, surf_soft, scrape_grain, crunch_gran, gore_wet, settle_rest",1.0,"51 grains/s, want 8-40; tilt +37.7 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
A_heavy_object_glides_slowly_over_rough_stone_low_variation2_1-loop.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation2(1).wav",loop,140,2008,scrape_loop,RETRY,830,41.2,2008,air_whoosh,0.99,"66 grains/s, want 8-40; tilt +41.2 dB, too bass-led (max +19) — hollow, no mid content",scrape_loop; window swept for seam
A_heavy_object_glides_slowly_over_rough_stone_low_variation2_1-long.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation2(1).wav",long,0,2980,scrape_loop,RETRY,855,40.3,2980,"surf_wood, surf_soft, crunch_gran, gore_wet, settle_rest",0.99,"60 grains/s, want 8-40; tilt +40.3 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
A_heavy_object_glides_slowly_over_rough_stone_low_variation2-loop.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation2.wav",loop,400,2008,scrape_loop,RETRY,1990,27.4,2008,air_whoosh,1.0,"62 grains/s, want 8-40; tilt +27.4 dB, too bass-led (max +19) — hollow, no mid content",scrape_loop; window swept for seam
A_heavy_object_glides_slowly_over_rough_stone_low_variation2-long.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation2.wav",long,30,2956,scrape_loop,RETRY,1879,27.7,2956,"surf_wood, surf_soft, crunch_gran, gore_wet, settle_rest",1.0,"52 grains/s, want 8-40; tilt +27.7 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
A_heavy_object_glides_slowly_over_rough_stone_low_variation3-loop.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation3.wav",loop,480,2008,scrape_loop,RETRY,928,38.4,2008,air_whoosh,1.0,"57 grains/s, want 8-40; tilt +38.4 dB, too bass-led (max +19) — hollow, no mid content",scrape_loop; window swept for seam
A_heavy_object_glides_slowly_over_rough_stone_low_variation3-long.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation3.wav",long,30,2960,scrape_loop,RETRY,841,38.7,2960,"surf_wood, surf_soft, crunch_gran, gore_wet, settle_rest",1.0,"49 grains/s, want 8-40; tilt +38.7 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
A_heavy_object_glides_slowly_over_rough_stone_low_variation4_1-loop.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation4(1).wav",loop,4640,2008,scrape_loop,RETRY,1879,30.7,2008,air_whoosh,1.0,"63 grains/s, want 8-40; tilt +30.7 dB, too bass-led (max +19) — hollow, no mid content",scrape_loop; window swept for seam
A_heavy_object_glides_slowly_over_rough_stone_low_variation4_1-long.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation4(1).wav",long,18,9946,scrape_loop,RETRY,1932,29.8,9946,,1.0,"tilt +29.8 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
A_heavy_object_glides_slowly_over_rough_stone_low_variation4-loop.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation4.wav",loop,840,2008,scrape_loop,RETRY,2649,23.8,2008,,1.0,"54 grains/s, want 8-40; tilt +23.8 dB, too bass-led (max +19) — hollow, no mid content",scrape_loop; window swept for seam
A_heavy_object_glides_slowly_over_rough_stone_low_variation4-long.wav,"Firefly_audio_A_heavy_object_glides_slowly_over_rough_stone,_low_variation4.wav",long,22,2940,scrape_loop,RETRY,2676,23.6,2940,gore_wet,1.0,"49 grains/s, want 8-40; tilt +23.6 dB, too bass-led (max +19) — hollow, no mid content","scrape_loop; full take, not seam-matched"
A_heavy_wet_slap_of_soaked_cloth_and_raw_meat_wit_variation2-s01.wav,"Firefly_audio_A_heavy_wet_slap_of_soaked_cloth_and_raw_meat,_wit_variation2.wav",short,194,224,gore_wet,RETRY,6395,-12.3,218,"imp_transient, surf_stone, limb_tap",0.96,"-20 dB in 16 ms, slot wants 20-350; centroid 6395 Hz, slot wants 400-4000",
A_heavy_wet_slap_of_soaked_cloth_and_raw_meat_wit_variation2-s02.wav,"Firefly_audio_A_heavy_wet_slap_of_soaked_cloth_and_raw_meat,_wit_variation2.wav",short,408,396,gore_wet,RETRY,5753,-19.6,392,surf_stone,0.96,"centroid 5753 Hz, slot wants 400-4000",
